time,x,y,xv,yv,truex,truey,truexv,trueyv,measx,measy,measxv,measyv,gainx,gainy,gainxv,gainyv
0,0,0,0,0,0,0,50,50,-0.214314,-0.3682449,49.32487,48.83414,0,0,0,0
0.1,4.36333,3.32107,33.0687,32.79581,5,4.95095,50,49.019,5.430851,3.378584,49.46768,49.10928,0.5020802,0.5020802,0.6666749,0.6666749
0.2,9.246392,8.555377,40.15742,38.93713,10,9.8038,50,48.038,10.29545,10.62778,50.5559,47.86012,0.3380792,0.3380792,0.40241,0.40241
0.3,14.46479,13.2958,43.07276,41.28046,15,14.55855,50,47.057,16.33918,14.45093,49.96088,46.85097,0.257491,0.257491,0.2908105,0.2908105
0.4,18.96656,18.37928,44.55553,42.38614,20,19.2152,50,46.076,18.36918,21.05357,49.55519,45.74651,0.2102332,0.2102332,0.2300742,0.2300742
0.5,24.15208,22.86383,45.58016,42.81417,25,23.77375,50,45.095,26.26909,23.46936,49.55684,44.51374,0.1796084,0.1796084,0.192432,0.192432
0.6,29.15715,27.50582,46.40765,43.07458,30,28.2342,50,44.114,30.21018,29.05774,50.33162,44.11965,0.1584572,0.1584572,0.1671986,0.1671986
0.7,34.28497,32.12146,47.02817,43.17065,35,32.59655,50,43.133,36.01742,33.86045,50.23287,43.41455,0.1431976,0.1431976,0.1493836,0.1493836
0.8,39.15378,36.34955,47.40814,42.93607,40,36.8608,50,42.152,39.32875,36.33636,49.75963,41.46674,0.1318375,0.1318375,0.1363418,0.1363418
0.9,44.31102,40.36556,47.81421,42.73773,45,41.02695,50,41.171,46.27026,38.83994,50.20116,41.68445,0.1231808,0.1231808,0.1265396,0.1265396
1,49.39196,44.64662,48.07451,42.41231,50,45.095,50,40.19,50.96499,45.82559,49.65267,39.78298,0.1164654,0.1164654,0.119026,0.119026
1.1,54.42365,48.56116,48.27605,41.9964,55,49.06495,50,39.209,55.61809,47.28726,49.57794,39.05035,0.1111832,0.1111832,0.1131798,0.1131798
1.2,59.46384,52.72808,48.3911,41.63605,60,52.9368,50,38.228,60.94288,53.92291,48.9916,38.44118,0.1069826,0.1069826,0.1085781,0.1085781
1.3,64.62094,56.89063,48.6631,41.29018,65,56.71055,50,37.247,66.46173,58.42132,50.52979,38.01825,0.1036126,0.1036126,0.1049231,0.1049231
1.4,69.62899,60.55333,48.75884,40.70083,70,60.3862,50,36.266,70.58603,58.70043,49.36462,36.01265,0.1008897,0.1008897,0.1019994,0.1019994
1.5,74.5337,64.33278,48.84076,40.18125,75,63.96375,50,35.285,74.42271,63.93266,49.59904,35.63905,0.09867695,0.09867695,0.09964731,0.09964731
1.6,79.63705,67.95586,49.00299,39.61789,80,67.4432,50,34.304,81.10067,66.71759,50.12273,34.78433,0.09687013,0.09687013,0.09774669,0.09774669
1.7,84.7092,71.48456,49.13592,38.99972,85,70.82455,50,33.323,85.84054,70.1434,50.08797,33.59647,0.09538901,0.09538901,0.09620535,0.09620535
1.8,89.84672,75.02379,49.2465,38.2795,90,74.1078,50,32.342,91.67984,75.04169,49.82648,31.49354,0.09417092,0.09417092,0.09495181,0.09495181
1.9,94.81801,78.42336,49.35454,37.55719,95,77.29295,50,31.361,94.72762,77.73968,50.4069,30.84839,0.09316645,0.09316645,0.09392998,0.09392998
