Date,EURUSD=X,USDJPY=X,spread,velocity
2010-01-01,1.438994,92.92,0,0
2010-01-04,1.442398,92.495,-90.82554,-45.41279
2010-01-05,1.436596,91.585,-90.59482,-0.4372291
2010-01-06,1.440403,92.356,-90.93541,-0.3795298
2010-01-07,1.431803,93.39,-91.76415,-0.5715543
2010-01-08,1.441109,92.66,-91.66665,-0.3488436
2010-01-11,1.451126,92.092,-91.29614,-0.1527188
2010-01-12,1.44766,91.08,-90.6058,0.04203291
2010-01-13,1.452391,91.433,-90.32071,0.09078559
2010-01-14,1.44999,91.267,-90.07374,0.1185007
2010-01-15,1.439097,90.75,-89.73209,0.1540608
2010-01-18,1.440673,90.705,-89.4778,0.1685845
2010-01-19,1.428102,91.199,-89.44623,0.1503399
2010-01-20,1.411034,91.192,-89.4304,0.1337247
2010-01-21,1.409702,90.393,-89.21504,0.143158
2010-01-22,1.414107,89.81,-88.90564,0.1612695
2010-01-25,1.415008,90.415,-88.80399,0.1551016
2010-01-26,1.408232,89.63,-88.554,0.1644858
2010-01-27,1.403095,89.95,-88.42295,0.1613045
2010-01-28,1.396804,89.778,-88.28604,0.1590596
2010-01-29,1.386693,90.27,-88.27566,0.1457447
2010-02-01,1.392699,90.76,-88.36516,0.1251473
2010-02-02,1.397624,90.428,-88.38582,0.1126092
2010-02-03,1.390105,90.84,-88.48453,0.09469074
2010-02-04,1.374495,89.41,-88.3277,0.09990445
2010-02-05,1.368008,89.22,-88.16326,0.105279
2010-02-08,1.365467,89.22,-88.02367,0.1081217
2010-02-09,1.378208,89.768,-87.99428,0.1016181
2010-02-10,1.375327,89.93,-88.0011,0.09267274
2010-02-11,1.368176,89.81,-87.99481,0.08554768
2010-02-12,1.363494,89.95,-88.01791,0.07657982
2010-02-15,1.360304,90.05,-88.06046,0.06673405
2010-02-16,1.376709,90.244,-88.1319,0.05529445
2010-02-17,1.360692,91.05,-88.33039,0.03424361
2010-02-18,1.346149,91.977,-88.66208,0.003832881
2010-02-19,1.361507,91.54,-88.89578,-0.01594376
2010-02-22,1.360563,91.235,-89.06179,-0.02845907
2010-02-23,1.352704,90.16,-89.04622,-0.0247817
2010-02-24,1.354316,90.279,-89.04827,-0.02287999
2010-02-25,1.353601,89.27,-88.89188,-0.007868821
2010-02-26,1.363104,88.921,-88.69156,0.009579381
2010-03-01,1.356208,89.15,-88.54424,0.0211321
2010-03-02,1.362064,88.74,-88.34557,0.03603179
2010-03-03,1.370163,88.57,-88.13752,0.0504735
2010-03-04,1.3584,89.16,-88.0428,0.05418899
2010-03-05,1.362899,90.22,-88.12322,0.04288247
2010-03-08,1.361693,90.286,-88.21115,0.03189421
2010-03-09,1.360692,89.989,-88.24885,0.02604747
2010-03-10,1.364331,90.47,-88.35964,0.01455255
2010-03-11,1.368532,90.648,-88.48991,0.002387476
2010-03-12,1.376993,90.54,-88.59221,-0.006406261
2010-03-15,1.367746,90.32,-88.65343,-0.01100955
2010-03-16,1.376879,90.29,-88.70298,-0.01424633
2010-03-17,1.373834,90.403,-88.76557,-0.01830596
2010-03-18,1.361396,90.48,-88.83575,-0.02266167
2010-03-19,1.353693,90.52,-88.90612,-0.02666769
2010-03-22,1.356705,90.34,-88.94061,-0.02732471
2010-03-23,1.346801,90.366,-88.97588,-0.02799147
2010-03-24,1.333102,92.014,-89.26371,-0.04980445
2010-03-25,1.330707,92.513,-89.60305,-0.07410953
2010-03-26,1.341004,92.507,-89.90781,-0.09347179
2010-03-29,1.348109,92.49,-90.17799,-0.1083043
2010-03-30,1.342408,92.82,-90.47084,-0.1237952
2010-03-31,1.350804,93.52,-90.83854,-0.1442689
2010-04-01,1.3584,93.85,-91.21653,-0.1638866
2010-04-02,1.350494,94.53,-91.65909,-0.1872783
2010-04-05,1.348909,94.33,-92.02213,-0.2020316
2010-04-06,1.340195,93.794,-92.25973,-0.2050172
2010-04-07,1.334846,93.309,-92.38876,-0.1986388
2010-04-08,1.336112,93.42,-92.50941,-0.1920925
2010-04-09,1.350093,93.16,-92.56341,-0.1805009
